#x               numerical u     analytic u
0.517964       0.471627       0.476429
0.518962       0.470693       0.475487
0.51996       0.469758       0.474545
0.520958       0.468823       0.473602
0.521956       0.467887       0.472658
0.522954       0.466951       0.471714
0.523952       0.466014       0.470769
0.52495       0.465077       0.469824
0.525948       0.464139       0.468878
0.526946       0.4632       0.467931
0.527944       0.462261       0.466985
0.528942       0.461322       0.466037
0.52994       0.460382       0.465089
0.530938       0.459441       0.464141
0.531936       0.4585       0.463192
0.532934       0.457559       0.462243
0.533932       0.456617       0.461293
0.53493       0.455675       0.460343
0.535928       0.454732       0.459392
0.536926       0.453788       0.458441
0.537924       0.452845       0.457489
0.538922       0.4519       0.456537
0.53992       0.450956       0.455584
0.540918       0.45001       0.454631
0.541916       0.449065       0.453678
0.542914       0.448119       0.452724
0.543912       0.447172       0.451769
0.54491       0.446225       0.450814
0.545908       0.445278       0.449859
0.546906       0.44433       0.448903
0.547904       0.443382       0.447947
0.548902       0.442433       0.446991
0.5499       0.441484       0.446034
0.550898       0.440535       0.445077
0.551896       0.439585       0.444119
0.552894       0.438635       0.443161
0.553892       0.437684       0.442202
0.55489       0.436733       0.441243
0.555888       0.435782       0.440284
0.556886       0.43483       0.439324
0.557884       0.433878       0.438364
0.558882       0.432925       0.437404
0.55988       0.431972       0.436443
0.560878       0.431019       0.435482
0.561876       0.430065       0.43452
0.562874       0.429111       0.433558
0.563872       0.428157       0.432596
0.56487       0.427202       0.431633
0.565868       0.426247       0.43067
0.566866       0.425291       0.429707
0.567864       0.424336       0.428743
0.568862       0.42338       0.427779
0.56986       0.422423       0.426815
0.570858       0.421466       0.42585
0.571856       0.420509       0.424885
0.572854       0.419552       0.42392
0.573852       0.418594       0.422954
0.57485       0.417636       0.421988
0.575848       0.416677       0.421022
0.576846       0.415719       0.420055
0.577844       0.41476       0.419088
0.578842       0.4138       0.418121
0.57984       0.412841       0.417154
0.580838       0.411881       0.416186
0.581836       0.410921       0.415218
0.582834       0.40996       0.414249
0.583832       0.408999       0.41328
0.58483       0.408038       0.412311
0.585828       0.407077       0.411342
0.586826       0.406115       0.410373
0.587824       0.405153       0.409403
0.588822       0.404191       0.408432
0.58982       0.403228       0.407462
0.590818       0.402265       0.406491
0.591816       0.401302       0.40552
0.592814       0.400339       0.404549
0.593812       0.399375       0.403578
0.59481       0.398411       0.402606
0.595808       0.397447       0.401634
0.596806       0.396483       0.400662
0.597804       0.395518       0.399689
0.598802       0.394553       0.398716
0.5998       0.393588       0.397743
0.600798       0.392623       0.39677
0.601796       0.391657       0.395796
0.602794       0.390691       0.394823
0.603792       0.389725       0.393848
0.60479       0.388759       0.392874
0.605788       0.387792       0.3919
0.606786       0.386825       0.390925
0.607784       0.385858       0.38995
0.608782       0.384891       0.388975
0.60978       0.383923       0.387999
0.610778       0.382956       0.387024
0.611776       0.381988       0.386048
0.612774       0.381019       0.385072
0.613772       0.380051       0.384096
0.61477       0.379082       0.383119
0.615768       0.378114       0.382142
0.616766       0.377145       0.381165
0.617764       0.376175       0.380188
0.618762       0.375206       0.379211
0.61976       0.374236       0.378233
0.620758       0.373266       0.377256
0.621756       0.372296       0.376278
0.622754       0.371326       0.375299
0.623752       0.370356       0.374321
0.62475       0.369385       0.373343
0.625749       0.368414       0.372364
0.626747       0.367443       0.371385
0.627745       0.366472       0.370406
0.628743       0.3655       0.369426
0.629741       0.364529       0.368447
0.630739       0.363557       0.367467
0.631737       0.362585       0.366487
0.632735       0.361613       0.365507
0.633733       0.360641       0.364527
0.634731       0.359668       0.363547
0.635729       0.358695       0.362566
0.636727       0.357723       0.361586
0.637725       0.35675       0.360605
0.638723       0.355776       0.359624
0.639721       0.354803       0.358642
0.640719       0.353829       0.357661
0.641717       0.352856       0.356679
